geneId,diseaseId,geneSymbol,diseaseName,recordCount,pubmedCount,directEvidence,inferenceChemicalCount
4314,MESH:D009361,MMP3,Neoplasm Invasiveness,1,2,marker/mechanism,0
4318,MESH:D001249,MMP9,Asthma,1,2,marker/mechanism,0
4318,MESH:D002471,MMP9,"Cell Transformation, Neoplastic",1,4,marker/mechanism,0
4318,MESH:D002543,MMP9,Cerebral Hemorrhage,1,5,marker/mechanism|therapeutic,0
4318,MESH:D003921,MMP9,"Diabetes Mellitus, Experimental",1,2,marker/mechanism,0
4318,MESH:D007249,MMP9,Inflammation,1,2,marker/mechanism,0
4318,MESH:D009203,MMP9,Myocardial Infarction,1,2,marker/mechanism,0
4318,MESH:D009361,MMP9,Neoplasm Invasiveness,1,7,marker/mechanism,0
4318,MESH:D009362,MMP9,Neoplasm Metastasis,1,6,marker/mechanism,0
4318,MESH:D010518,MMP9,Periodontitis,1,2,marker/mechanism,0
4353,MESH:D001172,MPO,"Arthritis, Rheumatoid",1,2,marker/mechanism,0
4353,MESH:D003093,MPO,"Colitis, Ulcerative",1,3,marker/mechanism,0
4353,MESH:D007249,MPO,Inflammation,1,5,marker/mechanism,0
4353,MESH:D015427,MPO,Reperfusion Injury,1,6,marker/mechanism,0
4477,MESH:D011471,MSMB,Prostatic Neoplasms,1,3,marker/mechanism,0
4487,MESH:D002972,MSX1,Cleft Palate,1,3,marker/mechanism,0
4487,MESH:D019465,MSX1,Craniofacial Abnormalities,1,4,marker/mechanism,0
4489,MESH:D006528,MT1A,"Carcinoma, Hepatocellular",1,2,marker/mechanism,0
4489,MESH:D008106,MT1A,"Liver Cirrhosis, Experimental",1,2,marker/mechanism,0
4502,MESH:D006528,MT2A,"Carcinoma, Hepatocellular",1,2,marker/mechanism,0
4502,MESH:D011471,MT2A,Prostatic Neoplasms,1,2,marker/mechanism|therapeutic,0
4502,MESH:D001749,MT2A,Urinary Bladder Neoplasms,1,2,marker/mechanism,0
4522,MESH:D009436,MTHFD1,Neural Tube Defects,1,2,marker/mechanism,0
4524,MESH:D000740,MTHFR,Anemia,1,2,marker/mechanism,0
4524,MESH:D001943,MTHFR,Breast Neoplasms,1,3,marker/mechanism,0
4524,MESH:D002318,MTHFR,Cardiovascular Diseases,1,2,marker/mechanism,0
4524,MESH:D056486,MTHFR,Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
4524,MESH:D015179,MTHFR,Colorectal Neoplasms,1,9,marker/mechanism,0
4524,MESH:D064420,MTHFR,Drug-Related Side Effects and Adverse Reactions,1,12,marker/mechanism,0
4524,MESH:D020138,MTHFR,Hyperhomocysteinemia,1,11,marker/mechanism|therapeutic,0
4524,MESH:D012559,MTHFR,Schizophrenia,1,3,marker/mechanism,0
4524,MESH:D013274,MTHFR,Stomach Neoplasms,1,2,marker/mechanism,0
4524,MESH:D020521,MTHFR,Stroke,1,3,marker/mechanism,0
2475,MESH:D000230,MTOR,Adenocarcinoma,1,2,marker/mechanism,0
2475,MESH:D010051,MTOR,Ovarian Neoplasms,1,2,marker/mechanism,0
4548,MESH:D064420,MTR,Drug-Related Side Effects and Adverse Reactions,1,2,marker/mechanism,0
4609,MESH:D000077192,MYC,Adenocarcinoma of Lung,1,2,marker/mechanism,0
4609,MESH:D006528,MYC,"Carcinoma, Hepatocellular",1,4,marker/mechanism,0
4609,MESH:D002471,MYC,"Cell Transformation, Neoplastic",1,4,marker/mechanism,0
4609,MESH:D003110,MYC,Colonic Neoplasms,1,4,marker/mechanism,0
4609,MESH:D018450,MYC,Disease Progression,1,4,marker/mechanism,0
4609,MESH:D008113,MYC,Liver Neoplasms,1,2,marker/mechanism,0
4609,MESH:D008114,MYC,"Liver Neoplasms, Experimental",1,3,marker/mechanism,0
4609,MESH:D008175,MYC,Lung Neoplasms,1,2,marker/mechanism,0
4609,MESH:D008527,MYC,Medulloblastoma,1,2,marker/mechanism,0
4609,MESH:D009447,MYC,Neuroblastoma,1,2,marker/mechanism,0
4609,MESH:D012516,MYC,Osteosarcoma,1,2,marker/mechanism,0
4609,MESH:D010051,MYC,Ovarian Neoplasms,1,2,marker/mechanism,0
4609,MESH:D011471,MYC,Prostatic Neoplasms,1,4,marker/mechanism,0
4609,MESH:D013274,MYC,Stomach Neoplasms,1,2,marker/mechanism,0
4613,MESH:D009447,MYCN,Neuroblastoma,1,15,marker/mechanism,0
4638,MESH:D009361,MYLK,Neoplasm Invasiveness,1,2,marker/mechanism,0
4638,MESH:D009362,MYLK,Neoplasm Metastasis,1,2,marker/mechanism,0
10135,MESH:D015179,NAMPT,Colorectal Neoplasms,1,2,marker/mechanism,0
10,MESH:D056486,NAT2,Chemical and Drug Induced Liver Injury,1,4,marker/mechanism,0
10,MESH:D004342,NAT2,Drug Hypersensitivity,1,3,marker/mechanism,0
10,MESH:D064420,NAT2,Drug-Related Side Effects and Adverse Reactions,1,2,marker/mechanism,0
10,MESH:D011471,NAT2,Prostatic Neoplasms,1,4,marker/mechanism,0
10,MESH:D001749,NAT2,Urinary Bladder Neoplasms,1,5,marker/mechanism,0
4683,MESH:D011471,NBN,Prostatic Neoplasms,1,2,marker/mechanism,0
653361,MESH:D001172,NCF1,"Arthritis, Rheumatoid",1,2,marker/mechanism,0
653361,MESH:D003921,NCF1,"Diabetes Mellitus, Experimental",1,2,marker/mechanism,0
653361,MESH:D006973,NCF1,Hypertension,1,4,marker/mechanism,0
8202,MESH:D007938,NCOA3,Leukemia,1,2,marker/mechanism,0
8202,MESH:D011471,NCOA3,Prostatic Neoplasms,1,2,marker/mechanism,0
