ncrnaId,drugId,ncrnaName,ncrnaType,drugName,phenotypeCount,pmidCount,effects,detectionMethods,levels,fda,targetGenes,pathways
circBase:hsa_circ_0030300,DrugBank:DB00515,hsa_circ_0030300,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030398,DrugBank:DB00515,hsa_circ_0030398,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030419,DrugBank:DB00515,hsa_circ_0030419,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030423,DrugBank:DB00515,hsa_circ_0030423,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030427,DrugBank:DB00515,hsa_circ_0030427,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030429,DrugBank:DB00515,hsa_circ_0030429,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030439,DrugBank:DB00515,hsa_circ_0030439,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030463,DrugBank:DB00515,hsa_circ_0030463,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030583,DrugBank:DB00515,hsa_circ_0030583,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030709,DrugBank:DB00515,hsa_circ_0030709,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
