drugId,diseaseId,max_phase,labels,statuses
CHEMBL1200699,EFO_0003106,4.0,pneumonia,Unknown status
CHEMBL1200699,EFO_0003894,4.0,acne,Completed
CHEMBL1200699,EFO_1000760,4.0,rosacea,Completed | Recruiting
CHEMBL1200699,EFO_1002047,4.0,spotted fever,
CHEMBL1200710,EFO_0004242,4.0,obsessive-compulsive disorder,
CHEMBL1200724,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1200724,EFO_0005854,4.0,allergic rhinitis,
CHEMBL1200724,EFO_0007214,4.0,common cold,
CHEMBL1200724,EFO_0007486,4.0,sinusitis,
CHEMBL1200724,HP_0001742,4.0,Nasal congestion,
CHEMBL1200724,HP_0012531,4.0,Pain,
CHEMBL1200724,HP_0012735,4.0,Cough,
CHEMBL1200724,MONDO_0005277,4.0,migraine disorder,
CHEMBL1200748,EFO_0000546,4.0,injury,
CHEMBL1200748,MONDO_0005180,4.0,Parkinson disease,Recruiting | Completed | Terminated | Withdrawn
CHEMBL1200750,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1200750,EFO_0005531,4.0,urticaria,
CHEMBL1200750,EFO_0006928,4.0,motion sickness,
CHEMBL1200750,EFO_0007141,4.0,allergic conjunctivitis,
CHEMBL1200750,HP_0002017,4.0,Nausea and vomiting,
CHEMBL1200750,HP_0012531,4.0,Pain,
CHEMBL1200751,EFO_0000220,4.0,acute lymphoblastic leukemia,Completed | Enrolling by invitation | Unknown status
CHEMBL1200751,EFO_0004289,4.0,lymphoid leukemia,Completed
CHEMBL1200760,EFO_0000729,4.0,ulcerative colitis,
CHEMBL1200762,EFO_0000729,4.0,ulcerative colitis,
CHEMBL1200764,MONDO_0004979,4.0,asthma,Completed
CHEMBL1200775,EFO_0000196,4.0,metastatic prostate cancer,Terminated
CHEMBL1200775,EFO_0001663,4.0,prostate carcinoma,Completed
CHEMBL1200775,EFO_0009029,4.0,Central precocious puberty,Completed | Recruiting
CHEMBL1200775,MONDO_0000088,4.0,precocious puberty,Completed
CHEMBL1200775,MONDO_0008315,4.0,prostate cancer,Terminated | Completed
CHEMBL1200776,EFO_0003884,4.0,chronic kidney disease,
CHEMBL1200776,EFO_0008506,4.0,hyperparathyroidism,
CHEMBL1200776,EFO_1000456,4.0,Parathyroid Gland Carcinoma,
CHEMBL1200776,EFO_1001173,4.0,secondary hyperparathyroidism,
CHEMBL1200781,MONDO_0002009,4.0,major depressive disorder,Unknown status
CHEMBL1200795,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1200795,EFO_0005531,4.0,urticaria,
CHEMBL1200795,EFO_0005854,4.0,allergic rhinitis,
CHEMBL1200795,EFO_0007214,4.0,common cold,
CHEMBL1200798,MONDO_0002009,4.0,major depressive disorder,
CHEMBL1200799,EFO_0004190,4.0,open-angle glaucoma,Completed
CHEMBL1200799,EFO_1001069,4.0,ocular hypertension,Completed
CHEMBL1200799,MONDO_0005041,4.0,glaucoma,Terminated | Completed
CHEMBL1200803,EFO_0006865,4.0,urgency urinary incontinence,
CHEMBL1200803,EFO_1000781,4.0,overactive bladder,Terminated | Completed
CHEMBL1200809,EFO_0003956,4.0,seasonal allergic rhinitis,Completed
CHEMBL1200809,EFO_0005854,4.0,allergic rhinitis,Completed | Withdrawn
CHEMBL1200809,EFO_0007141,4.0,allergic conjunctivitis,
CHEMBL1200809,EFO_0007533,4.0,vasomotor rhinitis,Completed
CHEMBL1200809,EFO_1001417,4.0,"Rhinitis, Allergic, Perennial",
CHEMBL1200809,HP_0001742,4.0,Nasal congestion,
CHEMBL1200810,EFO_0003884,4.0,chronic kidney disease,Completed
CHEMBL1200810,EFO_0005754,4.0,parathyroid disease,
CHEMBL1200810,EFO_1001173,4.0,secondary hyperparathyroidism,Completed | Terminated
CHEMBL1200813,EFO_0000537,4.0,hypertension,
CHEMBL1200813,HP_0004308,4.0,Ventricular arrhythmia,
CHEMBL1200814,EFO_0009373,4.0,edema,
CHEMBL1200814,HP_0001250,4.0,Seizure,
